Ain,643309
Aisne,554040
Allier,353262
Alpes-de-Haute-Provence,166298
Alpes-Maritimes,1098785
Ardèche,332051
Ardennes,287775
Ariège,158076
Aube,316098
Aude,375065
Aveyron,289901
Bas-Rhin,1131812
Bouches-du-Rhône,2035475
Calvados,708407
Cantal,152400
Charente,366787
Charente-Maritime,656046
Cher,318590
Corrèze,249684
Corse-du-Sud,154100
Côte-d'Or,545001
Côtes-d'Armor,617413
Creuse,124948
Deux-Sèvres,384655
Dordogne,428651
Doubs,549155
Drôme,514104
Essonne,1286908
Eure,616076
Eure-et-Loir,445083
Finistère,935393
Gard,752382
Gers,197988
Gironde,1556663
Guadeloupe,406706
Guyane,254845
Haute-Corse,175499
Haute-Garonne,1344579
Haute-Loire,234078
Haute-Marne,186698
Hautes-Alpes,145213
Haute-Saône,246022
Haute-Savoie,806447
Hautes-Pyrénées,236577
Haute-Vienne,384708
Haut-Rhin,775941
Hauts-de-Seine,1617484
Hérault,1127333
Ille-et-Vilaine,1060051
Indre,232802
Indre-et-Loire,619004
Isère,1271938
Jura,270826
La Réunion,541487
Landes,414090
Loire,774262
Loire-Atlantique,1382766
Loiret,688098
Loir-et-Cher,344121
Lot,180016
Lot-et-Garonne,343198
Lozère,80423
Maine-et-Loire,829156
Manche,518322
Marne,584297
Martinique,390252
Mayenne,317716
Meurthe-et-Moselle,746687
Meuse,197763
Morbihan,764338
Moselle,1065894
Nièvre,221048
Nord,2640622
Oise,838646
Orne,297109
Paris,2243739
Pas-de-Calais,1497668
Puy-de-Dôme,661248
Pyrénées-Atlantiques,688451
Pyrénées-Orientales,474842
Rhône,1833002
Saône-et-Loire,574229
Sarthe,583961
Savoie,440777
Seine-et-Marne,1400477
Seine-Maritime,1284107
Seine-Saint-Denis,1582139
Somme,583641
Tarn,396341
Tarn-et-Garonne,258696
Territoire de Belfort,147647
Val-de-Marne,1377511
Val-d'Oise,1221946
Var,1055745
Vaucluse,566592
Vendée,681469
Vienne,444347
Vosges,386978
Yonne,352433
Yvelines,1449398
